date,y,e-classic,e-MAPE,V-classic,V-MAPE
19/03/2007,129948.842,129152.0513,130715.8084,133658.1381,133028.6711
20/03/2007,146737.407,149466.9248,150160.7089,150444.0168,150319.2642
21/03/2007,153078.182,150850.704,151588.1326,152645.5904,153520.9505
22/03/2007,153012.566,151392.7135,151525.8818,151661.7717,151538.217
23/03/2007,152974.034,151437.4121,151552.477,151843.2961,152643.8101
24/03/2007,148841.112,146928.3976,147394.1058,146259.0827,146951.3449
25/03/2007,131001.149,130274.6019,131328.6455,131367.5141,131834.3318
26/03/2007,146240.661,145526.4376,146288.2025,146427.112,147256.5125
27/03/2007,151531.01,150829.1569,151790.2367,150165.1672,150846.8153
28/03/2007,152500.144,152038.6701,152863.1325,151803.98,153463.7208
29/03/2007,153752.705,153076.0124,153485.5881,150306.36,150908.1581
30/03/2007,153709.545,153045.6434,154130.9538,150089.6911,151555.0693
31/03/2007,148153.384,147869.1212,149103.0052,143821.7691,145001.958
01/04/2007,124466.231,123828.2948,124046.4161,126365.1063,124318.8166
02/04/2007,140540.181,139801.3099,139188.5138,142023.2713,140452.8414
03/04/2007,145349.582,144738.3854,143962.7787,145748.8091,143851.8068
04/04/2007,141655.222,141057.5622,140301.299,142767.3602,141668.844
05/04/2007,127742.354,127158.3435,127187.2234,127480.4193,125400.4443
06/04/2007,111518.929,110948.7158,112196.0161,115173.4678,114270.7976
07/04/2007,119664.185,119107.9214,120410.1429,121295.8552,119962.9548
08/04/2007,119057.71,118515.4853,117898.8311,119828.0947,117868.9307
09/04/2007,139902.225,141133.0804,140816.9623,143400.1198,141609.4736
10/04/2007,148241.065,148514.0286,148621.406,149534.3618,147534.401
11/04/2007,149272.449,150658.0399,150269.268,151688.0382,150567.0351
12/04/2007,150855.061,151880.3396,151388.9702,150746.3585,148614.462
13/04/2007,150615.573,151233.7838,151499.2627,150968.9836,149903.4141
14/04/2007,147924.005,146200.5486,146556.152,145127.6381,143899.484
15/04/2007,131226.098,129153.0943,129996.0371,129850.4386,128236.423
16/04/2007,146240.238,145816.2513,145967.4037,146411.4059,145653.7255
17/04/2007,152242.342,151742.3801,152024.2389,151676.7407,150960.7604
18/04/2007,155313.782,153802.2394,153902.0723,154426.3556,154655.6487
19/04/2007,152270.268,154352.3855,154939.0367,154494.3385,153796.4568
20/04/2007,151760.604,153259.1469,154118.0048,155364.4803,155884.1696
21/04/2007,147905.347,147864.4285,149196.5532,149389.9354,149705.3523
22/04/2007,131543.332,131213.8159,132441.3617,133340.3205,133218.9191
